,ds,y,date,time
332,2022-06-14 20:00,1279.78,2022-06-14,20:00:00
333,2022-06-14 21:00,1042.02,2022-06-14,21:00:00
334,2022-06-14 22:00,971.75,2022-06-14,22:00:00
335,2022-06-14 23:00,518.27,2022-06-14,23:00:00
336,2022-06-15 00:00,379.78,2022-06-15,00:00:00
337,2022-06-15 01:00,323.825,2022-06-15,01:00:00
338,2022-06-15 02:00,231.14,2022-06-15,02:00:00
339,2022-06-15 03:00,263.26,2022-06-15,03:00:00
340,2022-06-15 04:00,249.47,2022-06-15,04:00:00
341,2022-06-15 05:00,266.99,2022-06-15,05:00:00
342,2022-06-15 06:00,335.46,2022-06-15,06:00:00
343,2022-06-15 07:00,1131.87,2022-06-15,07:00:00
344,2022-06-15 08:00,1250.44,2022-06-15,08:00:00
345,2022-06-15 09:00,1573.82,2022-06-15,09:00:00
346,2022-06-15 10:00,1629.25,2022-06-15,10:00:00
347,2022-06-15 11:00,1643.28,2022-06-15,11:00:00
348,2022-06-15 12:00,1645.94,2022-06-15,12:00:00
349,2022-06-15 13:00,1665.77,2022-06-15,13:00:00
350,2022-06-15 14:00,1689.45,2022-06-15,14:00:00
351,2022-06-15 15:00,1714.63,2022-06-15,15:00:00
